id,ageInDays,ageInDaysForYear,ageInYears,amateurClubName,amateurLeague,birthDate,birthPlace,countryCode,csPlayerId,draftDate,draftMasterId,draftYear,draftedByTeamId,firstName,height,lastName,notes,overallPickNumber,pickInRound,playerId,playerName,position,removedOutright,removedOutrightWhy,roundNumber,shootsCatches,supplementalDraft,teamPickHistory,triCode,weight
11,7048.0,108.0,19.0,Halifax,MARJRA,1981-03-09,"Kirkland, QC  CAN",CAN,20492.0,2000-06-25,47,2000,23,Brandon,69.0,Reid,,208,11,8468161.0,Brandon Reid,C,N,,7,R,N,VAN,VAN,180.0
12,6595.0,20.0,18.0,TPS Jr.,FINLAND,1982-06-05,"Laitila, Finland",FIN,46575.0,2000-06-25,47,2000,10,Markus,73.0,Seikola,,209,12,8468689.0,Markus Seikola,D,N,,7,R,N,TOR (from ANA),TOR,194.0
13,7062.0,123.0,19.0,Green Bay,USHL,1981-02-23,"Atlanta, GA  USA",USA,6961.0,2000-06-25,47,2000,4,John,73.0,Eichelberger,,210,13,8468690.0,John Eichelberger,C,N,,7,L,N,PHI (from MTL),PHI,182.0
14,7071.0,132.0,19.0,Colorado College,WCHA,1981-02-14,"Virginia, MN  USA",USA,5235.0,2000-06-25,47,2000,22,Joe,73.0,Cullen,,211,14,8468691.0,Joe Cullen,F,N,,7,L,N,EDM,EDM,190.0
15,7426.0,121.0,20.0,Frolunda,Sweden,1980-02-25,"Mölndal, Sweden",SWE,35861.0,2000-06-25,47,2000,12,Magnus,74.0,Kahnberg,,212,15,8468692.0,Magnus Kahnberg,F,N,,7,L,N,CAR,CAR,174.0
16,6594.0,19.0,18.0,CSKA Jr.,Russia,1982-06-06,"Moscow, Russia",RUS,28844.0,2000-06-25,47,2000,7,Vasily,73.0,Bizyayev,,213,16,8468693.0,Vasily Bizyayev,LW,N,,7,L,N,BUF,BUF,185.0
17,9790.0,294.0,26.0,Budejovice,CZE,1973-09-05,"Martin, Slovakia",SVK,28266.0,2000-06-25,47,2000,30,Peter,72.0,Bartos,,214,17,8468694.0,Peter Bartos,F,N,,7,L,N,MIN (from SJS),MIN,185.0
18,6674.0,99.0,18.0,Victoriaville,QMJHL,1982-03-18,"Montreal, QC  CAN",CAN,14589.0,2000-06-25,47,2000,22,Matthew,71.0,Lombardi,,215,18,8468695.0,Matthew Lombardi,C,Y,Unsigned,7,L,N,EDM,EDM,195.0
19,7358.0,53.0,20.0,U. of New Hampshire,NCAA,1980-05-03,"Mars, PA  USA",USA,13.0,2000-06-25,47,2000,5,Jim,73.0,Abbott,,216,19,8468696.0,Jim Abbott,LW,N,,7,L,N,PIT,PIT,185.0
20,6728.0,154.0,18.0,Yaroslavl,RUS,1982-01-23,"Moscow, Russia",RUS,46031.0,2000-06-25,47,2000,27,Igor,71.0,Samoilov,,217,20,8468697.0,Igor Samoilov,D,N,,7,L,N,PHX,PHX,195.0
21,6518.0,309.0,17.0,Seattle,WHL,1982-08-21,"Saskatoon, SK  CAN",CAN,18560.0,2000-06-25,47,2000,26,Craig,73.0,Olynick,,218,21,8468698.0,Craig Olynick,D,N,,7,R,N,LAK,LAK,185.0
22,7761.0,90.0,21.0,TPS,FINLAND,1979-03-27,"Turku, Finland",FIN,49806.0,2000-06-25,47,2000,25,Marco,73.0,Tuokko,,219,22,8468699.0,Marco Tuokko,C,N,,7,L,N,DAL,DAL,172.0
23,6717.0,143.0,18.0,Portland,WHL,1982-02-03,"Fargo, ND  USA",USA,8592.0,2000-06-25,47,2000,7,Paul,77.0,Gaustad,,220,23,8468700.0,Paul Gaustad,F,N,,7,L,N,BUF (from OTT),BUF,212.0
24,6835.0,261.0,18.0,London,EHLGB,1981-10-08,"London, ON  CAN",CAN,,2000-06-25,47,2000,21,Aaron,72.0,Molnar,,221,24,8468701.0,Aaron Molnar,G,N,,7,L,N,COL,COL,165.0
25,7550.0,245.0,20.0,Bratislava,SVK,1979-10-24,"Bratislava, Slovakia",SVK,53232.0,2000-06-25,47,2000,14,Marek,74.0,Priechodsky,,222,25,8468702.0,Marek Priechodsky,D,N,,7,L,N,TBL (from FLA),TBL,194.0
26,6711.0,137.0,18.0,Zvolen Jr.,Slovakia,1982-02-09,"Zvolen, Slovakia",SVK,50448.0,2000-06-25,47,2000,10,Lubos,74.0,Velebny,,223,26,8468703.0,Lubos Velebny,D,N,,7,L,N,TOR,TOR,189.0
27,7297.0,358.0,19.0,Hameenlinna,Finland,1980-07-03,"Hämeenlinna, Finland",FIN,16864.0,2000-06-25,47,2000,25,Antti,72.0,Miettinen,,224,27,8468704.0,Antti Miettinen,C,N,,7,L,N,DAL,DAL,190.0
28,6717.0,143.0,18.0,Cherepovets 2,RUSSIA-3,1982-02-03,"Cherepovets, Russia",RUS,39807.0,2000-06-25,47,2000,16,Vladislav,73.0,Luchkin,,225,28,8468705.0,Vladislav Luchkin,C,N,,7,L,N,CHI (from WSH),CHI,185.0
29,7337.0,32.0,20.0,Brown U.,ECAC,1980-05-24,"Braintree, MA  USA",USA,6987.0,2000-06-25,47,2000,14,Brian,76.0,Eklund,,226,29,8468706.0,Brian Eklund,G,N,,7,L,N,TBL (from NJD),TBL,211.0
30,6989.0,49.0,19.0,Rouyn-Noranda,QMJHL,1981-05-07,"Amos, QC  CAN",CAN,14058.0,2000-06-25,47,2000,4,Guillaume,73.0,Lefebvre,,227,30,8468707.0,Guillaume Lefebvre,C,N,,7,L,N,PHI,PHI,200.0
31,6695.0,121.0,18.0,Vasteras IK Jr.,,1982-02-25,"Karlskrona, Sweden",SWE,48756.0,2000-06-25,47,2000,17,Jimmie,72.0,Svensson,,228,31,8468708.0,Jimmie Svensson,F,N,,7,L,N,DET,DET,190.0
32,6718.0,144.0,18.0,Montreal,EXHIB,1982-02-02,"Riverview, NB  CAN",CAN,14803.0,2000-06-25,47,2000,19,Brett,73.0,Lutes,,229,32,8468709.0,Brett Lutes,LW,N,,7,L,N,STL,STL,182.0
33,6833.0,259.0,18.0,North Bay,OHL,1981-10-10,"Rauma, Finland",FIN,34935.0,2000-06-25,47,2000,11,Samu,75.0,Isosalo,,230,1,8468710.0,Samu Isosalo,RW,N,,8,L,N,ATL,ATL,205.0
34,6998.0,58.0,19.0,New England,EJHL,1981-04-28,"Bridgeport, CT  USA",USA,26870.0,2000-06-25,47,2000,29,Peter,72.0,Zingoni,,231,2,8468711.0,Peter Zingoni,C,N,,8,L,N,CBJ,CBJ,180.0
35,11542.0,220.0,31.0,Trinec,CZE,1968-11-18,"Trencin, Slovakia",SVK,46589.0,2000-06-25,47,2000,30,Lubomir,72.0,Sekeras,,232,3,8468712.0,Lubomir Sekeras,D,N,,8,L,N,MIN,MIN,183.0
36,7109.0,170.0,19.0,St. Petersburg Ska St. Petersburg,RUS,1981-01-07,"St. Petersburg, Russia",RUS,44303.0,2000-06-25,47,2000,14,Alexander,75.0,Polukeyev,,233,4,8468713.0,Alexander Polukeyev,G,N,,8,L,N,TBL,TBL,185.0
37,6720.0,146.0,18.0,Lukko Rauma Jr.,,1982-01-31,"Riga, Latvia",LVA,47950.0,2000-06-25,47,2000,13,Janis,75.0,Sprukts,,234,5,8468714.0,Janis Sprukts,C,N,,8,L,N,FLA (from NYI),FLA,235.0
38,7101.0,162.0,19.0,Compuware,NAHL,1981-01-15,"Warren, MI  USA",USA,12992.0,2000-06-25,47,2000,12,Craig,71.0,Kowalski,,235,6,8468715.0,Craig Kowalski,G,N,,8,L,N,CAR,CAR,200.0
39,6707.0,133.0,18.0,Sodertalje Jr.,SWEDEN-JR.,1982-02-13,"Södertälje, Sweden",SWE,30115.0,2000-06-25,47,2000,18,Mats,73.0,Christeen,,236,7,8468716.0,Mats Christeen,D,N,,8,L,N,NSH,NSH,183.0
40,7438.0,133.0,20.0,Budejovice,CZE,1980-02-13,"Ceske Budejovice, Czech Republic",CZE,38532.0,2000-06-25,47,2000,6,Zdenek,75.0,Kutlak,,237,8,8468717.0,Zdenek Kutlak,D,N,,8,L,N,BOS,BOS,210.0
41,7180.0,241.0,19.0,Rensselaer,ECAC,1980-10-28,"Newton, MA  USA",USA,6890.0,2000-06-25,47,2000,3,Dan,72.0,Eberly,,238,9,8468718.0,Dan Eberly,D,N,,8,L,N,NYR,NYR,180.0
42,7317.0,12.0,20.0,Chomutov,CZECH,1980-06-13,"Chomutov, Czech Republic",CZE,33374.0,2000-06-25,47,2000,20,David,75.0,Hajek,,239,10,8468719.0,David Hajek,D,N,,8,L,N,CGY,CGY,194.0
43,7187.0,248.0,19.0,Barrie,OHL,1980-10-21,"Brampton, ON  CAN",CAN,11687.0,2000-06-25,47,2000,1,Michael,69.0,Danton,,135,5,8468615.0,Michael Danton,C,N,,5,R,N,NJD,NJD,191.0
44,8004.0,334.0,21.0,Nizhny Novgorod,,1978-07-27,"Dmitrievka, Kazakhstan",KAZ,50011.0,2000-06-25,47,2000,2,Dimitri,73.0,Upper,,136,6,8468616.0,Dimitri Upper,C,N,,5,R,N,NYI,NYI,176.0
45,7238.0,299.0,19.0,Colorado College,WCHA,1980-08-31,"Chicago, IL  USA",USA,23702.0,2000-06-25,47,2000,18,Mike,72.0,Stuart,,137,7,8468617.0,Mike Stuart,D,N,,5,R,N,NSH,NSH,195.0
46,6683.0,108.0,18.0,Sarnia,OHL,1982-03-09,"Kanata, QC  CAN",CAN,10404.0,2000-06-25,47,2000,29,Scott,77.0,Heffernan,,138,8,8468618.0,Scott Heffernan,D,N,,5,L,N,CBJ (from BOS),CBJ,187.0
47,8239.0,204.0,22.0,Amur Khabarovsk,Russia,1977-12-04,"Domodedovo, Russia",RUS,28678.0,2000-06-25,47,2000,25,Ruslan,75.0,Bernikov,,139,9,8468619.0,Ruslan Bernikov,RW,N,,5,L,N,DAL,DAL,198.0
48,7053.0,113.0,19.0,Chilliwack,BCJHL,1981-03-04,"Chilliwack, BC  CAN",CAN,15712.0,2000-06-25,47,2000,3,Nathan,72.0,Martz,,140,10,8468620.0,Nathan Martz,C,N,,5,L,N,NYR,NYR,169.0
49,6648.0,73.0,18.0,Calgary,WHL,1982-04-13,"Kamloops, BC  CAN",CAN,5644.0,2000-06-25,47,2000,20,Wade,76.0,Davis,,141,11,8468621.0,Wade Davis,D,N,,5,R,N,CGY,CGY,185.0
50,6780.0,206.0,18.0,Rouyn-Noranda,QMJHL,1981-12-02,"Most, Czech Republic",CZE,19641.0,2000-06-25,47,2000,28,Michael,71.0,Pinc,,142,12,8468622.0,Michael Pinc,F,N,,5,R,N,SJS (from CHI),SJS,180.0
51,7320.0,15.0,20.0,Union College,ECAC,1980-06-10,"Philadelphia, PA  USA",USA,22978.0,2000-06-25,47,2000,3,Brandon,73.0,Snee,,143,13,8468623.0,Brandon Snee,G,N,,5,L,N,NYR (from SJS),NYR,195.0
52,6945.0,5.0,19.0,Neftechimik,RUS,1981-06-20,"Karaganda, Russia",RUS,31014.0,2000-06-25,47,2000,23,Pavel,74.0,Duma,,144,14,8468624.0,Pavel Duma,C,N,,5,L,N,VAN,VAN,183.0
53,7323.0,18.0,20.0,Walpole,USHSE,1980-06-07,"New Westminster, BC  CAN",CAN,9036.0,2000-06-25,47,2000,8,Ryan,73.0,Glenn,,145,15,8468625.0,Ryan Glenn,D,N,,5,L,N,MTL (from ANA),MTL,210.0
54,6984.0,44.0,19.0,Sparta Praha Jr.,,1981-05-12,"Prague, Czech Republic",CZE,37067.0,2000-06-25,47,2000,5,David,78.0,Koci,,146,16,8468626.0,David Koci,D,N,,5,L,N,PIT (from MTL),PIT,238.0
55,6997.0,57.0,19.0,Cornell U.,NCAA,1981-04-29,"Toronto, ON  CAN",CAN,16599.0,2000-06-25,47,2000,11,Matt,72.0,McRae,,147,17,8468627.0,Matt McRae,C,N,,5,R,N,ATL (from CAR),ATL,180.0
56,8934.0,168.0,24.0,Djurgarden,SWEDEN,1976-01-09,"Stockholm, Sweden",SWE,43071.0,2000-06-25,47,2000,2,Kristofer,72.0,Ottosson,,148,18,8468628.0,Kristofer Ottosson,F,N,,5,L,N,NYI (from CAR),NYI,187.0
57,6751.0,177.0,18.0,HC Moscow,RUS,1981-12-31,"Moscow, Russia",RUS,30604.0,2000-06-25,47,2000,7,Denis,72.0,Denisov,,149,19,8468629.0,Denis Denisov,LW,N,,5,L,N,BUF,BUF,183.0
58,7090.0,151.0,19.0,Deerfield Academy,HIGH-MA,1981-01-26,"Abington, PA  USA",USA,12861.0,2000-06-25,47,2000,29,Tyler,70.0,Kolarik,,150,20,8468630.0,Tyler Kolarik,C,N,,5,R,N,CBJ (from SJS),CBJ,190.0
59,6983.0,43.0,19.0,Yaroslavl 2,RUSSIA-3,1981-05-13,"Yaroslavl, Russia",RUS,28208.0,2000-06-25,47,2000,16,Alexander,72.0,Barkunov,,151,21,8468631.0,Alexander Barkunov,D,N,,5,R,N,CHI (from LAK),CHI,180.0
60,6688.0,113.0,18.0,Brampton,OHL,1982-03-04,"Toronto, ON  CAN",CAN,7715.0,2000-06-25,47,2000,22,Paul,77.0,Flache,,152,22,8468632.0,Paul Flache,D,Y,Unsigned,5,R,N,EDM,EDM,220.0
61,7208.0,269.0,19.0,Boston College,H-EAST,1980-09-30,"Boston, MA  USA",USA,3791.0,2000-06-25,47,2000,24,Bill,71.0,Cass,,153,23,8468633.0,Bill Cass,D,N,,5,L,N,ANA (from PIT),ANA,217.0
62,7345.0,40.0,20.0,Twin Cities,,1980-05-16,"St. Paul, MN  USA",USA,12814.0,2000-06-25,47,2000,18,Matt,72.0,Koalska,,154,24,8468634.0,Matt Koalska,C,N,,5,L,N,NSH (from PHX),NSH,205.0
63,6655.0,80.0,18.0,Kelowna,WHL,1982-04-06,"Stewart Valley, SK  CAN",CAN,17143.0,2000-06-25,47,2000,20,Travis,74.0,Moen,,155,25,8468635.0,Travis Moen,LW,N,,5,L,N,CGY,CGY,215.0
64,7325.0,20.0,20.0,U. of Nebraska-Omaha,CCHA,1980-06-05,"Burnaby, BC  CAN",CAN,26786.0,2000-06-25,47,2000,9,Greg,71.0,Zanon,,156,26,8468636.0,Greg Zanon,D,N,,5,L,N,OTT (from LAK),OTT,201.0
65,7418.0,113.0,20.0,Lincoln,USHSE,1980-03-04,"Grand Forks, ND  USA",USA,19891.0,2000-06-25,47,2000,9,Grant,74.0,Potulny,,157,27,8468637.0,Grant Potulny,F,N,,5,L,N,OTT (from LAK),OTT,194.0
66,7200.0,261.0,19.0,Northern Michigan U.,CCHA,1980-10-08,"Dearborn, MI  USA",USA,4658.0,2000-06-25,47,2000,9,Sean,73.0,Connolly,,158,28,8468638.0,Sean Connolly,D,N,,5,R,N,OTT,OTT,187.0
67,7152.0,213.0,19.0,Michigan State U.,NCAA,1980-11-25,"Indianapolis, IN  USA",USA,14399.0,2000-06-25,47,2000,21,John-Michael,70.0,Liles,,159,29,8468639.0,John-Michael Liles,D,N,,5,L,N,COL,COL,185.0
68,6627.0,52.0,18.0,Plymouth,OHL,1982-05-04,"Riverview, MI  USA",USA,12659.0,2000-06-25,47,2000,27,Nate,73.0,Kiser,,160,30,8468640.0,Nate Kiser,D,N,,5,R,N,PHX (from FLA),PHX,190.0
69,6739.0,165.0,18.0,Voskresensk,,1982-01-12,"Voskresensk, Russia",RUS,46538.0,2000-06-25,47,2000,14,Pavel,75.0,Sedov,,161,31,8468641.0,Pavel Sedov,RW,N,,5,L,N,TBL (from TOR),TBL,200.0
70,6633.0,58.0,18.0,Novokuznetsk,KHL,1982-04-28,"Novokuznetsk, Russia",RUS,30024.0,2000-06-25,47,2000,25,Artem,71.0,Chernov,,162,32,8468642.0,Artem Chernov,C,N,,5,L,N,DAL,DAL,176.0
71,6716.0,142.0,18.0,Yaroslavl 2,RUSSIA-3,1982-02-04,"Yaroslavl, Russia",RUS,42009.0,2000-06-25,47,2000,15,Ivan,74.0,Nepryayev,,163,33,8468643.0,Ivan Nepryayev,C,N,,5,L,N,WSH,WSH,195.0
72,7394.0,89.0,20.0,Banska Bystrica,Slovakia,1980-03-28,"Banská Bystrica, Slovakia",SVK,37669.0,2000-06-25,47,2000,1,Matus,72.0,Kostur,,164,34,8468644.0,Matus Kostur,G,N,,5,L,N,NJD,NJD,183.0
73,7454.0,149.0,20.0,Chilliwack,BCJHL,1980-01-28,"Grimsby, ON  CAN",CAN,15588.0,2000-06-25,47,2000,26,Nathan,76.0,Marsters,,165,35,8468645.0,Nathan Marsters,G,N,,5,L,N,LAK (from PHI),LAK,190.0
74,7467.0,162.0,20.0,Providence College,NCAA,1980-01-15,"Yellow, SK  CAN",CAN,21777.0,2000-06-25,47,2000,28,Nolan,74.0,Schaefer,,166,36,8468646.0,Nolan Schaefer,G,N,,5,R,N,SJS (from DET),SJS,200.0
75,7040.0,100.0,19.0,Calgary Canucks,AJHL,1981-03-17,"Calgary, AB  CAN",CAN,25881.0,2000-06-25,47,2000,19,Craig,76.0,Weller,,167,37,8468647.0,Craig Weller,D,N,,5,R,N,STL,STL,220.0
76,7448.0,143.0,20.0,Karlovy Vary,CZE,1980-02-03,"Plzen, Czech Republic",CZE,47577.0,2000-06-25,47,2000,11,Zdenek,70.0,Smid,,168,1,8468648.0,Zdenek Smid,G,N,,6,L,N,ATL,ATL,172.0
77,6557.0,348.0,17.0,Red Deer,WHL,1982-07-13,"St. Albert, AB  CAN",CAN,1469.0,2000-06-25,47,2000,29,Shane,71.0,Bendera,,169,2,8468649.0,Shane Bendera,G,N,,6,L,N,CBJ,CBJ,170.0
78,6541.0,332.0,17.0,Barrie,OHL,1982-07-29,"Detroit, MI  USA",USA,20552.0,2000-06-25,47,2000,30,Erik,73.0,Reitz,,170,3,8468650.0,Erik Reitz,D,N,,6,R,N,MIN,MIN,222.0
79,10708.0,115.0,29.0,Vsetin,CZE,1971-03-02,"Gottwaldov, Czech Republic",CZE,29852.0,2000-06-25,47,2000,4,Roman,75.0,Cechmanek,,171,4,8468651.0,Roman Cechmanek,G,N,,6,L,N,PHI (from TBL),PHI,211.0
80,7055.0,115.0,19.0,Thayer Academy,USHSE,1981-03-02,"Philadelphia, PA  USA",USA,22164.0,2000-06-25,47,2000,8,Scott,73.0,Selig,,172,5,8468652.0,Scott Selig,F,N,,6,R,N,MTL (from NYI),MTL,178.0
81,7363.0,58.0,20.0,Zilina,,1980-04-28,"Zilina, Slovakia",SVK,33639.0,2000-06-25,47,2000,18,Tomas,73.0,Harant,,173,6,8468653.0,Tomas Harant,D,N,,6,L,N,NSH,NSH,180.0
82,10030.0,169.0,27.0,IFK Helsinki,,1973-01-08,"Luumaki, Finland",FIN,38392.0,2000-06-25,47,2000,6,Jarno,74.0,Kultanen,,174,7,8468654.0,Jarno Kultanen,D,N,,6,L,N,BOS,BOS,198.0
83,6540.0,331.0,17.0,Kloten,SUI,1982-07-30,"Winterthur, Switzerland",CHE,33902.0,2000-06-25,47,2000,3,Sven,70.0,Helfenstein,,175,8,8468655.0,Sven Helfenstein,F,N,,6,R,N,NYR,NYR,176.0
84,9550.0,53.0,26.0,HPK Hameenlinna,FINLAND,1974-05-03,"Joroinen, Finland",FIN,33968.0,2000-06-25,47,2000,20,Jukka,70.0,Hentunen,,176,9,8468656.0,Jukka Hentunen,F,N,,6,R,N,CGY,CGY,190.0
85,7466.0,161.0,20.0,Dubuque,USHL,1980-01-16,"Weymouth, MA  USA",USA,703.0,2000-06-25,47,2000,16,Michael,71.0,Ayers,,177,10,8468657.0,Michael Ayers,G,N,,6,L,N,CHI,CHI,186.0
86,7155.0,216.0,19.0,Choate Academy,Conn.,1980-11-22,"New Canaan, CT  USA",USA,6811.0,2000-06-25,47,2000,11,Jeff,74.0,Dwyer,,178,11,8468658.0,Jeff Dwyer,D,N,,6,L,N,ATL (from VAN),ATL,205.0
87,6948.0,8.0,19.0,Novokuznetsk 2,RUSSIA-JR.,1981-06-17,"Pavlodar, Kazakhstan",KAZ,47897.0,2000-06-25,47,2000,10,Vadim,73.0,Sozinov,,179,12,8468659.0,Vadim Sozinov,C,N,,6,L,N,TOR (from ANA),TOR,187.0
88,7259.0,320.0,19.0,Saskatoon,NSJHL,1980-08-10,"Kamsack, SK  CAN",CAN,11011.0,2000-06-25,47,2000,11,Darcy,73.0,Hordichuk,,180,13,8468660.0,Darcy Hordichuk,LW,N,,6,L,N,ATL (from MTL),ATL,211.0
89,7011.0,71.0,19.0,USA U-18,USA,1981-04-15,"Auburnester, NY  USA",USA,7893.0,2000-06-25,47,2000,12,J.D.,69.0,Forrest,,181,14,8468661.0,J.D. Forrest,D,N,,6,L,N,CAR,CAR,185.0
90,6604.0,29.0,18.0,Plzen Jr.,,1982-05-27,"Slany, Czech Republic",CZE,30171.0,2000-06-25,47,2000,8,Petr,72.0,Chvojka,,182,15,8468662.0,Petr Chvojka,D,N,,6,L,N,MTL (from BUF),MTL,189.0
91,6734.0,160.0,18.0,Martin,SVK,1982-01-17,"Martin, Slovakia",SVK,40098.0,2000-06-25,47,2000,28,Michal,72.0,Macho,,183,16,8468663.0,Michal Macho,C,N,,6,R,N,SJS,SJS,169.0
92,6493.0,284.0,17.0,Calgary,WHL,1982-09-15,"Calgary, AB  CAN",CAN,18211.0,2000-06-25,47,2000,22,Shaun,74.0,Norrie,,184,17,8468664.0,Shaun Norrie,RW,N,,6,R,N,EDM,EDM,180.0
93,7092.0,153.0,19.0,U. of New Hampshire,NCAA,1981-01-24,"Boston, MA  USA",USA,7816.0,2000-06-25,47,2000,5,Patrick,73.0,Foley,,185,18,8468665.0,Patrick Foley,LW,N,,6,L,N,PIT,PIT,216.0
94,7301.0,362.0,19.0,Oshawa,OHL,1980-06-29,"Sudbury, ON  CAN",CAN,8630.0,2000-06-25,47,2000,27,Brent,75.0,Gauvreau,,186,19,8467442.0,Brent Gauvreau,C,N,,6,R,N,PHX,PHX,191.0
95,6747.0,173.0,18.0,Grums,SWEDEN,1982-01-04,"Grums, Sweden",SWE,27994.0,2000-06-25,47,2000,17,Per,73.0,Backer,,187,20,8468667.0,Per Backer,F,N,,6,L,N,DET (from LAK),DET,180.0
96,7337.0,32.0,20.0,Brampton,OHL,1980-05-24,"Windsor, ON  CAN",CAN,15319.0,2000-06-25,47,2000,9,Jason,73.0,Maleyko,,188,21,8468668.0,Jason Maleyko,D,N,,6,L,N,OTT,OTT,211.0
97,7161.0,222.0,19.0,Clarkson U.,NCAA,1980-11-16,"Montreal, QC  CAN",CAN,769.0,2000-06-25,47,2000,21,Chris,73.0,Bahen,,189,22,8468669.0,Chris Bahen,D,N,,6,L,N,COL,COL,180.0
98,6922.0,348.0,18.0,Omaha,USHL,1981-07-13,"Grand Forks, ND  USA",USA,18540.0,2000-06-25,47,2000,13,Josh,75.0,Olson,,190,23,8468670.0,Josh Olson,LW,N,,6,L,N,FLA,FLA,236.0
99,6572.0,363.0,17.0,Kamloops,WHL,1982-06-28,"Campbell River, BC  CAN",CAN,8954.0,2000-06-25,47,2000,14,Aaron,74.0,Gionet,,191,24,8468671.0,Aaron Gionet,D,N,,6,R,N,TBL (from TOR),TBL,191.0
100,6847.0,273.0,18.0,Kladno Jr.,CZE JR.,1981-09-26,"Kladno, Czech Republic",CZE,50743.0,2000-06-25,47,2000,25,Ladislav,72.0,Vlcek,,192,25,8468672.0,Ladislav Vlcek,F,N,,6,L,N,DAL,DAL,172.0
101,6918.0,344.0,18.0,Omaha,USHL,1981-07-17,"Fridley, MN  USA",USA,15675.0,2000-06-25,47,2000,16,Joey,74.0,Martin,,193,26,8468673.0,Joey Martin,D,N,,6,L,N,CHI (from WSH),CHI,198.0
102,6658.0,83.0,18.0,Moose Jaw,WHL,1982-04-03,"Edmonton, AB  CAN",CAN,7105.0,2000-06-25,47,2000,1,Deryk,74.0,Engelland,,194,27,8468674.0,Deryk Engelland,D,N,,6,R,N,NJD,NJD,202.0
103,7455.0,150.0,20.0,Cleveland,NAHL,1980-01-27,"Glasgow, United Kingdom",GBR,22403.0,2000-06-25,47,2000,4,Colin,72.0,Shields,,195,28,8468675.0,Colin Shields,RW,N,,6,R,N,PHI,PHI,190.0
104,6554.0,345.0,17.0,Sault Ste. Marie,OHL,1982-07-16,"Waterloo, ON  CAN",CAN,873.0,2000-06-25,47,2000,17,Paul,75.0,Ballantyne,,196,29,8468676.0,Paul Ballantyne,D,N,,6,R,N,DET,DET,200.0
105,7148.0,209.0,19.0,HC Vitkovice,,1980-11-29,"Ostrava, Czech Republic",CZE,34894.0,2000-06-25,47,2000,18,Zbynek,70.0,Irgl,,197,30,8468677.0,Zbynek Irgl,F,N,,6,R,N,NSH (from STL),NSH,178.0
106,6540.0,330.0,17.0,Toronto St. Michael's,OHL,1983-07-28,"Sault Ste. Marie, ON  CAN",CAN,7372.0,2001-06-23,48,2001,5,Drew,73.0,Fata,,86,23,8469535.0,Drew Fata,D,N,,3,L,N,PIT,PIT,209.0
